                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6712,                 2.5547,                 2.1151,                0.98775,                      1,                  0.995,                  0.995,                0.25661,                 1.1591,                0.92942,                      0,                      0,                      0
                      2,                 1.7701,                 2.7406,                 2.0199,                0.99385,                      1,                  0.995,                  0.995,                0.23677,                0.76257,                0.90579,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                0.93565,                 1.7307,                 1.2788,                0.99429,                      1,                  0.995,                  0.995,                0.20894,                0.91822,                0.88195,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                0.53141,                0.96938,                 1.0139,                0.99494,                      1,                  0.995,                 0.9669,                0.28535,                 1.7172,                0.92856,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                0.29124,                 1.3041,                0.91908,                 0.9944,                      1,                  0.995,                0.95234,                0.32563,                0.59593,                 1.0845,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                0.64021,                 1.0515,                  0.967,                 0.9692,                      1,                  0.995,                0.98708,                0.20815,                 1.5881,                0.89709,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                0.40609,                 1.1184,                0.87318,                0.99442,                      1,                  0.995,                  0.995,                0.27048,                0.42506,                0.88731,             0.00010574,             0.00010574,             0.00010574
                      8,                0.29192,                0.53267,                0.82169,                      1,                      1,                  0.995,                0.97914,                0.28017,                0.84936,                0.89765,              0.0001206,              0.0001206,              0.0001206
                      9,                0.33093,                0.52394,                0.85689,                      1,                      1,                  0.995,                0.89976,                0.41661,                 1.6183,                0.93529,             0.00013466,             0.00013466,             0.00013466
                     10,                0.44427,                0.51074,                0.87974,                      1,                      1,                  0.995,                0.90386,                0.39081,                 2.0379,                0.92502,             0.00014792,             0.00014792,             0.00014792
                     11,                 0.3939,                0.56496,                0.90788,                0.44444,                0.66667,                0.59314,                0.53738,                0.37809,                 11.727,                0.93081,              0.0001604,              0.0001604,              0.0001604
                     12,                0.28793,                0.65285,                0.90544,                 0.2283,                      1,                0.28429,                0.27241,                0.31865,                 18.891,                0.91676,             0.00017208,             0.00017208,             0.00017208
                     13,                0.52091,                 1.0823,                0.91311,                    0.4,                      1,                 0.6692,                0.65483,                0.28623,                 14.419,                0.92585,             0.00018298,             0.00018298,             0.00018298
                     14,                0.43918,                0.45527,                0.83061,                0.31579,                      1,                0.57111,                0.56311,                0.29653,                 18.246,                0.96262,             0.00019308,             0.00019308,             0.00019308
                     15,                0.54567,                0.99819,                0.99535,                    0.3,                      1,                0.61012,                0.59753,                0.36192,                     33,                 1.0023,             0.00020238,             0.00020238,             0.00020238
                     16,                0.62714,                0.70913,                 1.0235,                0.22222,                      1,                0.50288,                0.48616,                0.35211,                 114.26,                0.96501,              0.0002109,              0.0002109,              0.0002109
                     17,                0.48178,                0.57379,                0.96299,                0.16901,                      1,                0.59201,                0.58804,                0.24772,                 198.27,                0.92529,             0.00021862,             0.00021862,             0.00021862
                     18,                 0.3513,                0.60448,                 1.0059,                0.16901,                      1,                0.59201,                0.58804,                0.24772,                 198.27,                0.92529,             0.00022556,             0.00022556,             0.00022556
                     19,                0.44843,                0.55927,                0.99959,                0.16667,                      1,                0.26481,                0.25189,                0.33861,                 196.98,                0.93631,              0.0002317,              0.0002317,              0.0002317
                     20,                0.65913,                0.67567,                0.97632,                0.16667,                      1,                0.26481,                0.25189,                0.33861,                 196.98,                0.93631,             0.00023704,             0.00023704,             0.00023704
                     21,                0.43317,                0.52688,                0.90435,                0.23521,                      1,                0.37929,                0.31753,                0.47339,                 94.349,                 1.0189,              0.0002416,              0.0002416,              0.0002416
                     22,                0.48447,                 0.6461,                0.95842,                0.23521,                      1,                0.37929,                0.31753,                0.47339,                 94.349,                 1.0189,             0.00024536,             0.00024536,             0.00024536
                     23,                0.37074,                 0.6557,                0.82688,                    0.4,                      1,                0.69367,                0.58181,                0.44834,                 43.923,                 1.0852,             0.00024834,             0.00024834,             0.00024834
                     24,                0.54222,                0.46218,                0.96441,                    0.4,                      1,                0.69367,                0.58181,                0.44834,                 43.923,                 1.0852,             0.00025052,             0.00025052,             0.00025052
                     25,                0.63163,                 0.7025,                 1.0191,                0.46154,                      1,                0.75896,                0.58604,                0.60345,                 36.412,                 1.4304,              0.0002519,              0.0002519,              0.0002519
                     26,                  0.505,                0.59334,                0.94181,                0.46154,                      1,                0.75896,                0.58604,                0.60345,                 36.412,                 1.4304,              0.0002525,              0.0002525,              0.0002525
                     27,                 0.4738,                 0.5635,                0.93853,                0.42761,                      1,                0.54664,                0.45043,                0.58653,                 32.481,                 1.2235,              0.0002523,              0.0002523,              0.0002523
                     28,                 0.5934,                0.64889,                 0.9616,                0.42761,                      1,                0.54664,                0.45043,                0.58653,                 32.481,                 1.2235,             0.00025132,             0.00025132,             0.00025132
                     29,                0.47114,                0.55275,                0.95413,                0.41667,                0.83333,                0.71601,                 0.5989,                0.61547,                 33.444,                 1.2256,             0.00024954,             0.00024954,             0.00024954
                     30,                0.40625,                0.49271,                0.90787,                0.41667,                0.83333,                0.71601,                 0.5989,                0.61547,                 33.444,                 1.2256,             0.00024696,             0.00024696,             0.00024696
                     31,                0.43786,                0.51153,                0.89625,                0.42857,                      1,                  0.663,                 0.5967,                0.44923,                 28.173,                0.99259,              0.0002436,              0.0002436,              0.0002436
                     32,                0.43829,                 0.5564,                0.96372,                0.42857,                      1,                  0.663,                 0.5967,                0.44923,                 28.173,                0.99259,             0.00023944,             0.00023944,             0.00023944
                     33,                0.41302,                0.39318,                0.88922,                0.42857,                      1,                0.70701,                0.64063,                0.39587,                 25.501,                 1.0242,              0.0002345,              0.0002345,              0.0002345
                     34,                  0.469,                0.62363,                0.84224,                0.42857,                      1,                0.70701,                0.64063,                0.39587,                 25.501,                 1.0242,             0.00022876,             0.00022876,             0.00022876
                     35,                0.44589,                0.48359,                 0.9144,                0.35294,                      1,                0.45296,                0.40821,                0.42721,                 19.116,                 1.0753,             0.00022222,             0.00022222,             0.00022222
                     36,                0.50494,                0.52963,                0.95056,                0.35294,                      1,                0.45296,                0.40821,                0.42721,                 19.116,                 1.0753,              0.0002149,              0.0002149,              0.0002149
                     37,                0.42295,                0.43051,                0.90717,                0.78571,                0.91667,                0.81952,                0.74107,                0.44919,                 8.4158,                 1.0368,             0.00020678,             0.00020678,             0.00020678
                     38,                0.41629,                0.41588,                0.85116,                0.78571,                0.91667,                0.81952,                0.74107,                0.44919,                 8.4158,                 1.0368,             0.00019788,             0.00019788,             0.00019788
                     39,                0.60018,                0.46926,                0.90238,                0.90445,                      1,                  0.995,                0.89049,                0.33171,                 2.7477,                 0.9519,             0.00018818,             0.00018818,             0.00018818
                     40,                0.45728,                0.90088,                0.98047,                0.90445,                      1,                  0.995,                0.89049,                0.33171,                 2.7477,                 0.9519,             0.00017768,             0.00017768,             0.00017768
                     41,                0.43374,                0.86358,                0.91197,                0.93551,                      1,                  0.995,                0.89628,                0.31947,                 2.0024,                0.92747,              0.0001664,              0.0001664,              0.0001664
                     42,                0.37888,                0.67157,                0.94807,                0.93551,                      1,                  0.995,                0.89628,                0.31947,                 2.0024,                0.92747,             0.00015432,             0.00015432,             0.00015432
                     43,                0.40776,                0.60587,                0.79117,                0.95485,                      1,                  0.995,                0.96761,                0.34787,                 1.8065,                0.92891,             0.00014146,             0.00014146,             0.00014146
                     44,                0.33182,                0.51956,                0.78114,                0.95485,                      1,                  0.995,                0.96761,                0.34787,                 1.8065,                0.92891,              0.0001278,              0.0001278,              0.0001278
                     45,                0.35848,                0.50835,                0.95854,                0.98428,                      1,                  0.995,                0.91933,                 0.3317,                  1.453,                0.91648,             0.00011334,             0.00011334,             0.00011334
                     46,                0.39606,                0.41078,                0.86014,                0.98428,                      1,                  0.995,                0.91933,                 0.3317,                  1.453,                0.91648,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                0.33665,                0.41211,                0.88523,                0.99303,                      1,                  0.995,                0.92397,                0.31931,                 1.3447,                0.91496,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                0.36085,                0.38691,                0.89693,                0.99303,                      1,                  0.995,                0.92397,                0.31931,                 1.3447,                0.91496,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                0.35594,                 0.3933,                0.82576,                0.99486,                      1,                  0.995,                0.91799,                0.32062,                 1.2274,                0.91666,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                0.31065,                0.38643,                0.85469,                0.99486,                      1,                  0.995,                0.91799,                0.32062,                 1.2274,                0.91666,             2.9204e-05,             2.9204e-05,             2.9204e-05
