                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.60179,                0.38151,                0.84392,                0.99217,                0.95265,                0.96261,                0.75816,                 0.8646,                0.46292,                0.93216,             0.00017912,             0.00017912,             0.00017912
                     37,                0.63127,                0.40999,                0.82957,                0.57808,                0.69113,                0.41851,                0.32627,                0.91224,                 3.3386,                0.94026,             0.00017235,             0.00017235,             0.00017235
                     38,                0.61197,                0.40417,                0.86016,                0.57808,                0.69113,                0.41851,                0.32627,                0.91224,                 3.3386,                0.94026,             0.00016493,             0.00016493,             0.00016493
                     39,                0.60951,                0.39684,                0.83994,                0.56476,                0.59035,                0.36169,                0.28658,                 1.0588,                 34.296,                 1.0141,             0.00015684,             0.00015684,             0.00015684
                     40,                0.57826,                0.32717,                0.84955,                0.56476,                0.59035,                0.36169,                0.28658,                 1.0588,                 34.296,                 1.0141,              0.0001481,              0.0001481,              0.0001481
                     41,                 0.5919,                0.35155,                0.85344,                0.50359,                0.08129,                0.27404,                0.22567,                 1.6138,                 168.75,                 1.2778,             0.00013869,             0.00013869,             0.00013869
                     42,                 0.5859,                0.35928,                0.86612,                0.50359,                0.08129,                0.27404,                0.22567,                 1.6138,                 168.75,                 1.2778,             0.00012863,             0.00012863,             0.00012863
                     43,                0.59665,                0.37073,                0.84385,                0.50359,                0.08129,                0.27404,                0.22567,                 1.8137,                 328.05,                 1.4826,              0.0001179,              0.0001179,              0.0001179
                     44,                0.58183,                0.34448,                0.84116,                0.50359,                0.08129,                0.27404,                0.22567,                 1.8137,                 328.05,                 1.4826,             0.00010652,             0.00010652,             0.00010652
                     45,                0.57564,                0.32338,                0.84096,                0.50215,                0.06813,                0.27335,                0.23163,                 1.8415,                  303.9,                 1.5091,             9.4472e-05,             9.4472e-05,             9.4472e-05
                     46,                0.56982,                0.31805,                0.83322,                0.50215,                0.06813,                0.27335,                0.23163,                 1.8415,                  303.9,                 1.5091,             8.1766e-05,             8.1766e-05,             8.1766e-05
                     47,                0.57725,                  0.335,                  0.831,                0.50334,                0.11462,                0.29072,                0.24473,                 1.7024,                 184.93,                 1.3619,               6.84e-05,               6.84e-05,               6.84e-05
                     48,                0.59363,                0.33615,                0.86439,                0.50334,                0.11462,                0.29072,                0.24473,                 1.7024,                 184.93,                 1.3619,             5.4374e-05,             5.4374e-05,             5.4374e-05
                     49,                0.56294,                0.33415,                0.83499,                0.50166,                0.15263,                0.22173,                 0.1806,                 1.6137,                 96.617,                 1.2553,             3.9688e-05,             3.9688e-05,             3.9688e-05
                     50,                0.54513,                0.30715,                 0.8255,                0.50166,                0.15263,                0.22173,                 0.1806,                 1.6137,                 96.617,                 1.2553,             2.4342e-05,             2.4342e-05,             2.4342e-05
