                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3884,                 5.6972,                0.84555,                0.00333,                  0.125,                0.00237,                0.00176,                   1.17,                 5.2668,                0.80739,                      0,                      0,                      0
                      2,                 1.2943,                 4.9413,                  0.858,                0.05049,                0.10346,                0.03121,                0.02171,                 1.0881,                 3.8216,                0.78442,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                 1.2808,                 3.6304,                0.81178,                0.87397,                 0.8125,                0.94685,                0.67847,                 1.0787,                 1.8335,                0.76337,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                  1.668,                 2.8529,                0.82682,                0.77693,                      1,                  0.983,                0.69322,                 1.0536,                 3.1064,                0.75832,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                 0.8904,                 2.4399,                 0.7858,                  0.979,                      1,                  0.995,                0.67788,                 1.1221,                 1.8123,                0.75578,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                 1.0693,                 1.3167,                0.78988,                0.95775,                  0.875,                0.97696,                0.64145,                 1.1873,                 2.0496,                0.76935,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                0.98455,                 2.2364,                 0.7924,                0.93467,                0.89506,                 0.9755,                 0.6105,                 1.1538,                 1.6886,                0.77825,             0.00010574,             0.00010574,             0.00010574
                      8,                 1.1673,                 1.7034,                0.77535,                      1,                0.99923,                  0.995,                0.65807,                 1.0679,                 1.6862,                0.77246,              0.0001206,              0.0001206,              0.0001206
                      9,                 1.0016,                 1.5929,                0.82223,                0.11846,                 0.9375,                0.11951,                0.08773,                 1.0957,                 28.974,                0.77135,             0.00013466,             0.00013466,             0.00013466
                     10,                0.96268,                 1.0384,                0.76593,                0.06776,                  0.875,                0.06908,                0.05026,                 1.0454,                 92.565,                 0.7667,             0.00014792,             0.00014792,             0.00014792
                     11,                   1.06,                 1.0825,                0.82456,                 0.0651,                 0.9375,                0.06598,                 0.0488,                 1.0826,                 160.86,                0.76436,              0.0001604,              0.0001604,              0.0001604
                     12,                 1.2999,                  1.154,                0.84683,                0.07128,                      1,                0.07336,                0.05103,                 1.2125,                 202.61,                0.76538,             0.00017208,             0.00017208,             0.00017208
                     13,                 1.3826,                 1.0279,                 0.7787,                 0.0524,                 0.8125,                  0.058,                0.04266,                 1.0641,                  252.3,                0.75479,             0.00018298,             0.00018298,             0.00018298
                     14,                 1.2092,                 0.9671,                0.80647,                0.06911,                    0.5,                0.05482,                0.04036,                0.99656,                 173.69,                0.75742,             0.00019308,             0.00019308,             0.00019308
