                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                   1.31,                0.92984,                0.80234,                0.09937,                 0.4375,                0.07328,                0.05116,                 1.1092,                 168.37,                0.76058,             0.00020238,             0.00020238,             0.00020238
                     16,                 1.5074,                 1.1654,                0.80969,                0.03028,                 0.5625,                0.02676,                0.01867,                 1.0771,                 273.23,                0.75462,              0.0002109,              0.0002109,              0.0002109
                     17,                 1.2978,                0.94436,                0.85812,                0.01671,                    0.5,                0.01212,                 0.0087,                 1.0784,                 305.82,                 0.7567,             0.00021862,             0.00021862,             0.00021862
                     18,                  1.009,                0.70675,                0.89291,                0.01671,                    0.5,                0.01212,                 0.0087,                 1.0784,                 305.82,                 0.7567,             0.00022556,             0.00022556,             0.00022556
                     19,                 1.0721,                0.69819,                0.84896,                0.01372,                 0.4375,                0.00961,                 0.0072,                  1.593,                 431.95,                 0.8581,              0.0002317,              0.0002317,              0.0002317
                     20,                 1.1474,                0.68361,                0.80026,                0.01372,                 0.4375,                0.00961,                 0.0072,                  1.593,                 431.95,                 0.8581,             0.00023704,             0.00023704,             0.00023704
                     21,                 1.2933,                0.74707,                0.80507,                0.00785,                   0.25,                 0.0045,                0.00333,                 2.0145,                 913.61,                  1.179,              0.0002416,              0.0002416,              0.0002416
                     22,                 1.2164,                0.71169,                0.81053,                0.00785,                   0.25,                 0.0045,                0.00333,                 2.0145,                 913.61,                  1.179,             0.00024536,             0.00024536,             0.00024536
                     23,                 1.2332,                0.77104,                0.81455,                0.00785,                   0.25,                 0.0045,                0.00333,                 1.1575,                 2645.4,                0.91181,             0.00024834,             0.00024834,             0.00024834
                     24,                   1.42,                 0.9393,                0.78966,                0.00785,                   0.25,                 0.0045,                0.00333,                 1.1575,                 2645.4,                0.91181,             0.00025052,             0.00025052,             0.00025052
                     25,                  1.049,                0.80832,                0.79758,                0.01763,                    0.5,                0.01446,                 0.0095,                 1.7225,                 812.04,                 1.1202,              0.0002519,              0.0002519,              0.0002519
                     26,                 1.6965,                0.79636,                0.82901,                0.01763,                    0.5,                0.01446,                 0.0095,                 1.7225,                 812.04,                 1.1202,              0.0002525,              0.0002525,              0.0002525
                     27,                 1.2314,                0.67412,                0.79009,                0.02169,                    0.5,                0.01795,                0.01259,                 1.4494,                 404.56,                0.85697,              0.0002523,              0.0002523,              0.0002523
                     28,                  1.299,                0.72602,                0.84364,                0.02169,                    0.5,                0.01795,                0.01259,                 1.4494,                 404.56,                0.85697,             0.00025132,             0.00025132,             0.00025132
                     29,                 1.4383,                0.84753,                0.82697,                 0.0415,                  0.625,                0.03577,                0.02521,                 1.3756,                 184.09,                 0.8134,             0.00024954,             0.00024954,             0.00024954
                     30,                 1.4712,                0.83371,                0.83439,                 0.0415,                  0.625,                0.03577,                0.02521,                 1.3756,                 184.09,                 0.8134,             0.00024696,             0.00024696,             0.00024696
                     31,                 1.2147,                 0.6901,                0.79996,                0.13694,                 0.8125,                0.12189,                0.07725,                 1.4282,                 69.356,                0.80954,              0.0002436,              0.0002436,              0.0002436
                     32,                 1.5478,                0.96394,                0.84726,                0.13694,                 0.8125,                0.12189,                0.07725,                 1.4282,                 69.356,                0.80954,             0.00023944,             0.00023944,             0.00023944
                     33,                 1.3466,                0.92433,                0.78347,                0.12392,                      1,                0.12736,                0.06856,                 1.5186,                 50.826,                0.77512,              0.0002345,              0.0002345,              0.0002345
                     34,                 1.5572,                 0.7205,                0.83277,                0.12392,                      1,                0.12736,                0.06856,                 1.5186,                 50.826,                0.77512,             0.00022876,             0.00022876,             0.00022876
                     35,                 1.7013,                0.74252,                0.82377,                0.21847,                 0.6875,                0.38911,                0.22487,                 1.4937,                 12.079,                0.76619,             0.00022222,             0.00022222,             0.00022222
                     36,                 1.2009,                0.62056,                0.84576,                0.21847,                 0.6875,                0.38911,                0.22487,                 1.4937,                 12.079,                0.76619,              0.0002149,              0.0002149,              0.0002149
                     37,                 1.3532,                0.60995,                0.82602,                0.62856,                 0.9375,                0.66659,                0.40231,                 1.3363,                 18.398,                0.76069,             0.00020678,             0.00020678,             0.00020678
                     38,                 1.2036,                0.83711,                0.82822,                0.62856,                 0.9375,                0.66659,                0.40231,                 1.3363,                 18.398,                0.76069,             0.00019788,             0.00019788,             0.00019788
                     39,                 1.5277,                0.74455,                0.79579,                0.61146,                 0.9375,                0.61998,                0.39118,                 1.2282,                 56.589,                0.75966,             0.00018818,             0.00018818,             0.00018818
                     40,                 1.2004,                0.57316,                0.85699,                0.61146,                 0.9375,                0.61998,                0.39118,                 1.2282,                 56.589,                0.75966,             0.00017768,             0.00017768,             0.00017768
                     41,                 1.1001,                0.68782,                0.78084,                0.59731,                 0.9375,                0.58386,                0.38701,                 1.1381,                   56.2,                0.75777,              0.0001664,              0.0001664,              0.0001664
                     42,                  1.041,                0.62203,                0.77878,                0.59731,                 0.9375,                0.58386,                0.38701,                 1.1381,                   56.2,                0.75777,             0.00015432,             0.00015432,             0.00015432
                     43,                 1.2907,                0.64113,                0.81124,                0.62089,                 0.9375,                 0.6213,                0.42081,                 1.0608,                 28.921,                0.75654,             0.00014146,             0.00014146,             0.00014146
                     44,                 1.0524,                0.63781,                0.75941,                0.62089,                 0.9375,                 0.6213,                0.42081,                 1.0608,                 28.921,                0.75654,              0.0001278,              0.0001278,              0.0001278
                     45,                 1.0508,                 0.6735,                0.72589,                0.62282,                 0.9375,                0.64534,                0.45351,                 1.0339,                 14.722,                0.76064,             0.00011334,             0.00011334,             0.00011334
                     46,                 1.1308,                0.66699,                0.79822,                0.62282,                 0.9375,                0.64534,                0.45351,                 1.0339,                 14.722,                0.76064,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                 0.9987,                0.53351,                0.78222,                0.28014,                 0.9375,                0.29214,                 0.2076,                 1.0196,                 16.268,                0.76544,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                 1.1564,                0.54383,                0.79422,                0.28014,                 0.9375,                0.29214,                 0.2076,                 1.0196,                 16.268,                0.76544,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                0.98949,                0.60923,                0.82606,                0.20645,                      1,                0.20675,                0.14998,                  1.023,                 21.407,                0.76239,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                 1.0416,                0.56515,                0.79957,                0.20645,                      1,                0.20675,                0.14998,                  1.023,                 21.407,                0.76239,             2.9204e-05,             2.9204e-05,             2.9204e-05
