                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86464,                 4.0353,                 1.1306,                      0,                      0,                      0,                      0,                 1.1083,                 3.9879,                 1.3645,                      0,                      0,                      0
                      2,                0.82705,                 3.9722,                 1.0729,                0.04144,                0.18023,                0.04713,                0.03517,                0.96133,                 3.4807,                  1.121,              1.634e-05,              1.634e-05,              1.634e-05
                      3,                0.78482,                 3.2732,                 1.0368,                0.99331,                    0.5,                0.49744,                0.37798,                0.93688,                 1.4051,                0.96243,              3.202e-05,              3.202e-05,              3.202e-05
                      4,                0.76417,                 2.6664,                0.91712,                0.99411,                    0.5,                0.51621,                0.39058,                 0.8805,                 1.3242,                0.91348,             4.7039e-05,             4.7039e-05,             4.7039e-05
                      5,                 0.7081,                0.85939,                0.93058,                0.40409,                 0.5625,                0.57833,                0.43551,                0.87401,                 3.2325,                 0.9069,             6.1399e-05,             6.1399e-05,             6.1399e-05
                      6,                0.78273,                0.65606,                0.91388,                0.71136,                  0.625,                0.67552,                0.50274,                 0.9654,                 2.7742,                0.94103,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      7,                0.75417,                0.83228,                0.87839,                0.85637,                 0.9375,                0.91248,                 0.6616,                 1.0651,                 1.2545,                0.98759,             8.8138e-05,             8.8138e-05,             8.8138e-05
                      8,                0.71287,                0.60209,                0.89679,                 0.9572,                 0.9369,                  0.995,                0.74028,                 1.0078,                 1.1001,                0.96106,             0.00010052,             0.00010052,             0.00010052
                      9,                0.69758,                0.53308,                0.92112,                0.92838,                      1,                  0.995,                0.77976,                0.88087,                  1.543,                0.92109,             0.00011224,             0.00011224,             0.00011224
                     10,                0.70839,                0.54433,                0.89256,                0.93396,                      1,                  0.995,                0.77157,                0.89435,                 2.5239,                0.93543,             0.00012329,             0.00012329,             0.00012329
                     11,                0.67151,                0.45381,                0.87753,                0.97147,                      1,                  0.995,                0.73928,                 1.0019,                 2.5862,                0.97806,             0.00013369,             0.00013369,             0.00013369
                     12,                0.98339,                0.72161,                0.89255,                0.88201,                      1,                  0.995,                0.68095,                 1.1893,                 2.9971,                 1.0707,             0.00014343,             0.00014343,             0.00014343
                     13,                0.83838,                0.58435,                0.86373,                 0.7538,                      1,                0.83914,                0.54521,                 1.2574,                 10.546,                 1.1422,             0.00015251,             0.00015251,             0.00015251
                     14,                0.88954,                0.65118,                0.94439,                0.77903,                      1,                0.81432,                0.54854,                 1.1696,                 15.941,                 1.1193,             0.00016093,             0.00016093,             0.00016093
                     15,                0.78352,                0.52609,                0.88281,                0.93922,                      1,                  0.995,                0.71078,                 1.0401,                 1.8467,                 1.0455,             0.00016869,             0.00016869,             0.00016869
                     16,                0.83092,                0.51269,                0.86869,                0.74127,                      1,                0.93442,                0.70921,                0.94796,                 2.1084,                 0.9808,             0.00017579,             0.00017579,             0.00017579
                     17,                0.74142,                0.57158,                0.91401,                 0.4467,                      1,                  0.532,                  0.395,                0.93242,                 2.5771,                0.96483,             0.00018222,             0.00018222,             0.00018222
                     18,                0.68171,                 0.5385,                0.90999,                 0.4467,                      1,                  0.532,                  0.395,                0.93242,                 2.5771,                0.96483,               0.000188,               0.000188,               0.000188
                     19,                0.79945,                 0.5183,                 0.8917,                0.49162,                  0.875,                0.55635,                0.41656,                 0.9523,                  2.259,                 0.9766,             0.00019312,             0.00019312,             0.00019312
                     20,                0.76109,                0.60266,                0.84893,                0.49162,                  0.875,                0.55635,                0.41656,                 0.9523,                  2.259,                 0.9766,             0.00019758,             0.00019758,             0.00019758
                     21,                0.81829,                0.58458,                0.85743,                0.60873,                0.83552,                 0.7886,                0.59484,                0.98018,                 2.1136,                0.98935,             0.00020137,             0.00020137,             0.00020137
                     22,                0.79102,                0.52222,                0.89277,                0.60873,                0.83552,                 0.7886,                0.59484,                0.98018,                 2.1136,                0.98935,             0.00020451,             0.00020451,             0.00020451
                     23,                0.74727,                0.50006,                0.94247,                0.47957,                0.93177,                0.52241,                0.38673,                0.93643,                 4.4313,                0.96301,             0.00020699,             0.00020699,             0.00020699
                     24,                0.78187,                0.48801,                0.86306,                0.47957,                0.93177,                0.52241,                0.38673,                0.93643,                 4.4313,                0.96301,             0.00020881,             0.00020881,             0.00020881
                     25,                0.78625,                   0.55,                0.87394,                0.44158,                 0.9375,                0.48357,                0.36653,                 0.8849,                 17.319,                0.94297,             0.00020996,             0.00020996,             0.00020996
                     26,                0.76387,                0.55408,                0.87189,                0.44158,                 0.9375,                0.48357,                0.36653,                 0.8849,                 17.319,                0.94297,             0.00021046,             0.00021046,             0.00021046
                     27,                0.66644,                 0.5253,                0.84068,                0.30051,                      1,                0.32165,                0.24503,                0.87298,                 18.425,                0.94496,              0.0002103,              0.0002103,              0.0002103
                     28,                0.73199,                 0.4708,                0.85575,                0.30051,                      1,                0.32165,                0.24503,                0.87298,                 18.425,                0.94496,             0.00020947,             0.00020947,             0.00020947
