                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     29,                0.74443,                0.44586,                0.84971,                 0.3413,                      1,                0.36687,                0.27932,                0.86713,                 13.215,                 0.9369,             0.00020799,             0.00020799,             0.00020799
                     30,                0.73929,                0.45255,                0.88619,                 0.3413,                      1,                0.36687,                0.27932,                0.86713,                 13.215,                 0.9369,             0.00020584,             0.00020584,             0.00020584
                     31,                0.75253,                0.45756,                 0.9011,                 0.3456,                      1,                0.37725,                0.28122,                 0.8798,                 11.051,                0.93135,             0.00020304,             0.00020304,             0.00020304
                     32,                0.70464,                0.48234,                0.87381,                 0.3456,                      1,                0.37725,                0.28122,                 0.8798,                 11.051,                0.93135,             0.00019958,             0.00019958,             0.00019958
                     33,                0.72296,                0.57349,                0.85349,                0.31307,                      1,                0.37698,                0.27696,                0.92707,                 7.2315,                0.93932,             0.00019545,             0.00019545,             0.00019545
                     34,                0.76424,                0.44981,                0.87487,                0.31307,                      1,                0.37698,                0.27696,                0.92707,                 7.2315,                0.93932,             0.00019067,             0.00019067,             0.00019067
                     35,                0.74542,                0.46066,                0.87978,                0.33774,                      1,                  0.393,                0.29002,                0.94104,                  3.733,                0.93772,             0.00018522,             0.00018522,             0.00018522
                     36,                 0.7396,                0.51828,                0.90154,                0.33774,                      1,                  0.393,                0.29002,                0.94104,                  3.733,                0.93772,             0.00017912,             0.00017912,             0.00017912
                     37,                 0.7518,                0.51162,                0.93401,                0.35825,                      1,                0.42477,                0.32135,                0.91643,                 3.6919,                0.93169,             0.00017235,             0.00017235,             0.00017235
                     38,                0.67262,                0.43169,                0.90153,                0.35825,                      1,                0.42477,                0.32135,                0.91643,                 3.6919,                0.93169,             0.00016493,             0.00016493,             0.00016493
                     39,                0.73674,                0.46192,                 0.8362,                0.48775,                      1,                0.62108,                0.48354,                0.90546,                 1.7586,                0.93611,             0.00015684,             0.00015684,             0.00015684
                     40,                0.66443,                0.45183,                0.85719,                0.48775,                      1,                0.62108,                0.48354,                0.90546,                 1.7586,                0.93611,              0.0001481,              0.0001481,              0.0001481
                     41,                0.69599,                 0.4521,                 0.8961,                 0.9965,                      1,                  0.995,                0.80234,                0.90794,                0.79991,                0.93558,             0.00013869,             0.00013869,             0.00013869
                     42,                0.67285,                0.41057,                0.87922,                 0.9965,                      1,                  0.995,                0.80234,                0.90794,                0.79991,                0.93558,             0.00012863,             0.00012863,             0.00012863
                     43,                0.74786,                0.47679,                0.87566,                 0.9966,                      1,                  0.995,                0.81066,                0.90479,                0.67778,                0.93184,              0.0001179,              0.0001179,              0.0001179
                     44,                0.67952,                0.44346,                0.90066,                 0.9966,                      1,                  0.995,                0.81066,                0.90479,                0.67778,                0.93184,             0.00010652,             0.00010652,             0.00010652
                     45,                0.67123,                0.44684,                0.86381,                0.99669,                      1,                  0.995,                0.80981,                 0.9139,                0.58263,                0.92724,             9.4472e-05,             9.4472e-05,             9.4472e-05
                     46,                0.66674,                0.43346,                0.85855,                0.99669,                      1,                  0.995,                0.80981,                 0.9139,                0.58263,                0.92724,             8.1766e-05,             8.1766e-05,             8.1766e-05
                     47,                0.67271,                0.43203,                0.91332,                0.99633,                      1,                  0.995,                 0.8085,                0.92098,                0.54617,                0.92325,               6.84e-05,               6.84e-05,               6.84e-05
                     48,                0.68879,                0.42057,                0.91302,                0.99633,                      1,                  0.995,                 0.8085,                0.92098,                0.54617,                0.92325,             5.4374e-05,             5.4374e-05,             5.4374e-05
                     49,                0.70107,                0.41887,                0.90318,                0.99584,                      1,                  0.995,                0.80853,                0.91733,                 0.5236,                0.92154,             3.9688e-05,             3.9688e-05,             3.9688e-05
                     50,                0.69705,                0.43337,                0.85521,                0.99584,                      1,                  0.995,                0.80853,                0.91733,                 0.5236,                0.92154,             2.4342e-05,             2.4342e-05,             2.4342e-05
