                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                0.66991,                0.43799,                0.84513,                0.72518,                0.97475,                0.75777,                0.60002,                0.90516,                 4.3954,                0.94816,             0.00018222,             0.00018222,             0.00018222
                     18,                0.69632,                0.39896,                0.90504,                0.72518,                0.97475,                0.75777,                0.60002,                0.90516,                 4.3954,                0.94816,               0.000188,               0.000188,               0.000188
                     19,                0.63999,                0.40758,                 0.8439,                0.81861,                0.96075,                0.83967,                0.64876,                0.93806,                 1.3827,                 0.9684,             0.00019312,             0.00019312,             0.00019312
                     20,                0.63727,                0.39552,                0.86745,                0.81861,                0.96075,                0.83967,                0.64876,                0.93806,                 1.3827,                 0.9684,             0.00019758,             0.00019758,             0.00019758
                     21,                0.62195,                0.37492,                0.87022,                0.94009,                0.96638,                0.97809,                0.75171,                0.95487,                0.55705,                0.96734,             0.00020137,             0.00020137,             0.00020137
                     22,                0.64436,                0.39145,                0.86034,                0.94009,                0.96638,                0.97809,                0.75171,                0.95487,                0.55705,                0.96734,             0.00020451,             0.00020451,             0.00020451
                     23,                0.65486,                0.43093,                0.84532,                0.67508,                0.94782,                0.68206,                0.51661,                0.92478,                0.93375,                 0.9492,             0.00020699,             0.00020699,             0.00020699
                     24,                0.64664,                0.37596,                0.84329,                0.67508,                0.94782,                0.68206,                0.51661,                0.92478,                0.93375,                 0.9492,             0.00020881,             0.00020881,             0.00020881
                     25,                0.66915,                0.43818,                 0.8354,                0.84807,                   0.98,                0.96429,                0.73277,                0.94281,                0.64728,                0.95361,             0.00020996,             0.00020996,             0.00020996
                     26,                0.62386,                0.39416,                0.82737,                0.84807,                   0.98,                0.96429,                0.73277,                0.94281,                0.64728,                0.95361,             0.00021046,             0.00021046,             0.00021046
                     27,                 0.6451,                0.40202,                0.83837,                0.85041,                      1,                 0.8733,                0.65777,                0.98634,                 1.0073,                0.97699,              0.0002103,              0.0002103,              0.0002103
                     28,                0.63663,                0.38243,                0.87423,                0.85041,                      1,                 0.8733,                0.65777,                0.98634,                 1.0073,                0.97699,             0.00020947,             0.00020947,             0.00020947
                     29,                0.67239,                 0.4313,                0.84288,                0.65695,                      1,                0.65953,                0.51858,                0.99879,                 22.045,                 0.9783,             0.00020799,             0.00020799,             0.00020799
                     30,                0.63752,                0.39338,                0.87926,                0.65695,                      1,                0.65953,                0.51858,                0.99879,                 22.045,                 0.9783,             0.00020584,             0.00020584,             0.00020584
                     31,                0.69881,                0.42103,                0.92523,                0.97818,                0.99961,                0.98824,                0.76639,                0.97253,                0.44477,                0.96314,             0.00020304,             0.00020304,             0.00020304
                     32,                0.68693,                0.52127,                0.86626,                0.97818,                0.99961,                0.98824,                0.76639,                0.97253,                0.44477,                0.96314,             0.00019958,             0.00019958,             0.00019958
                     33,                0.72426,                 0.5403,                0.82706,                0.70628,                0.97326,                0.74934,                0.57415,                0.93263,                0.61416,                0.94849,             0.00019545,             0.00019545,             0.00019545
                     34,                0.69079,                0.48721,                0.87654,                0.70628,                0.97326,                0.74934,                0.57415,                0.93263,                0.61416,                0.94849,             0.00019067,             0.00019067,             0.00019067
                     35,                0.66969,                0.50368,                0.84118,                0.71594,                0.83521,                0.78661,                0.58876,                0.96802,                0.56347,                0.96742,             0.00018522,             0.00018522,             0.00018522
                     36,                0.63336,                0.38878,                 0.8785,                0.71594,                0.83521,                0.78661,                0.58876,                0.96802,                0.56347,                0.96742,             0.00017912,             0.00017912,             0.00017912
                     37,                0.65744,                0.43724,                0.84219,                0.90975,                0.94197,                0.96485,                0.69038,                 1.0697,                0.52698,                 1.0143,             0.00017235,             0.00017235,             0.00017235
                     38,                0.67344,                0.41859,                 0.8763,                0.90975,                0.94197,                0.96485,                0.69038,                 1.0697,                0.52698,                 1.0143,             0.00016493,             0.00016493,             0.00016493
                     39,                0.63961,                 0.4198,                0.84511,                0.98534,                0.98239,                0.98775,                0.69311,                 1.1315,                0.56451,                 1.0416,             0.00015684,             0.00015684,             0.00015684
                     40,                0.61759,                0.37735,                0.86834,                0.98534,                0.98239,                0.98775,                0.69311,                 1.1315,                0.56451,                 1.0416,              0.0001481,              0.0001481,              0.0001481
                     41,                0.62681,                0.43055,                0.85205,                0.97807,                0.91243,                0.98359,                 0.6898,                 1.1366,                0.55882,                  1.045,             0.00013869,             0.00013869,             0.00013869
                     42,                0.64839,                0.39741,                0.85996,                0.97807,                0.91243,                0.98359,                 0.6898,                 1.1366,                0.55882,                  1.045,             0.00012863,             0.00012863,             0.00012863
                     43,                0.66852,                0.44433,                0.84621,                 0.8873,                0.96393,                0.94609,                0.66837,                 1.1027,                0.53138,                 1.0291,              0.0001179,              0.0001179,              0.0001179
                     44,                0.64151,                 0.3582,                0.87133,                 0.8873,                0.96393,                0.94609,                0.66837,                 1.1027,                0.53138,                 1.0291,             0.00010652,             0.00010652,             0.00010652
                     45,                0.63657,                0.35719,                0.84655,                0.89917,                0.98927,                0.97121,                0.69993,                 1.0611,                0.53105,                 1.0081,             9.4472e-05,             9.4472e-05,             9.4472e-05
                     46,                0.62895,                0.38126,                0.89359,                0.89917,                0.98927,                0.97121,                0.69993,                 1.0611,                0.53105,                 1.0081,             8.1766e-05,             8.1766e-05,             8.1766e-05
                     47,                0.62658,                0.39072,                0.85428,                0.96923,                0.99296,                0.98557,                0.72301,                 1.0378,                0.49099,                0.99614,               6.84e-05,               6.84e-05,               6.84e-05
                     48,                0.62449,                0.36673,                0.90797,                0.96923,                0.99296,                0.98557,                0.72301,                 1.0378,                0.49099,                0.99614,             5.4374e-05,             5.4374e-05,             5.4374e-05
                     49,                0.60976,                0.34905,                 0.8391,                0.97626,                0.99648,                0.99312,                0.73415,                 1.0208,                0.46107,                0.98611,             3.9688e-05,             3.9688e-05,             3.9688e-05
                     50,                0.62228,                0.39309,                0.86357,                0.97626,                0.99648,                0.99312,                0.73415,                 1.0208,                0.46107,                0.98611,             2.4342e-05,             2.4342e-05,             2.4342e-05
