                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68278,                0.50307,                0.87472,                0.16769,                0.80831,                0.17827,                0.13797,                0.89444,                 9.6684,                0.95167,                      0,                      0,                      0
                      2,                0.71241,                0.57106,                0.85054,                0.22929,                   0.96,                0.27354,                0.20987,                 0.9071,                 4.9874,                0.95482,              1.634e-05,              1.634e-05,              1.634e-05
                      3,                0.67122,                0.47094,                0.88244,                0.23467,                      1,                0.34726,                0.26076,                0.93459,                   4.59,                0.96606,              3.202e-05,              3.202e-05,              3.202e-05
                      4,                0.68116,                0.44353,                0.85588,                0.31813,                      1,                0.79238,                0.59274,                0.95424,                 2.2771,                0.97536,             4.7039e-05,             4.7039e-05,             4.7039e-05
                      5,                0.71028,                0.45736,                0.86111,                0.38047,                      1,                0.57175,                0.43182,                0.94023,                 1.8373,                0.96778,             6.1399e-05,             6.1399e-05,             6.1399e-05
                      6,                0.70046,                0.46121,                0.83406,                0.76887,                      1,                0.97126,                0.74185,                0.93601,                0.86929,                0.96236,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      7,                0.66223,                0.48042,                0.83926,                0.99524,                      1,                  0.995,                0.76112,                0.96078,                0.60496,                0.96707,             8.8138e-05,             8.8138e-05,             8.8138e-05
                      8,                0.69866,                0.46042,                0.86809,                0.94082,                      1,                0.98164,                0.74111,                0.96155,                0.77178,                 0.9654,             0.00010052,             0.00010052,             0.00010052
                      9,                 0.7154,                0.45203,                0.86634,                0.91251,                      1,                0.95296,                0.72443,                0.93118,                0.84435,                0.95289,             0.00011224,             0.00011224,             0.00011224
                     10,                0.66494,                0.46108,                0.85051,                0.90089,                      1,                0.94707,                0.72169,                0.92816,                0.86923,                0.94917,             0.00012329,             0.00012329,             0.00012329
                     11,                0.63716,                0.39655,                0.87004,                0.69973,                0.93648,                0.81215,                0.62246,                0.94308,                 1.6735,                0.95715,             0.00013369,             0.00013369,             0.00013369
                     12,                0.65572,                0.45299,                0.84206,                0.61366,                0.93296,                0.64853,                0.48263,                0.97452,                 2.2319,                 0.9722,             0.00014343,             0.00014343,             0.00014343
                     13,                0.69364,                0.40541,                0.83812,                 0.7318,                0.93382,                0.77473,                0.57177,                0.99151,                 2.0464,                0.97778,             0.00015251,             0.00015251,             0.00015251
                     14,                0.67366,                 0.4129,                0.86328,                0.53012,                0.91648,                0.54992,                0.40467,                0.99349,                 4.0984,                0.98165,             0.00016093,             0.00016093,             0.00016093
                     15,                0.65287,                0.41552,                0.84828,                0.50188,                0.91419,                 0.4984,                0.36938,                0.98966,                 6.0454,                0.98093,             0.00016869,             0.00016869,             0.00016869
                     16,                0.66703,                0.43797,                0.85026,                0.51928,                0.93296,                0.51729,                0.40017,                0.91218,                 5.3497,                0.95135,             0.00017579,             0.00017579,             0.00017579
